country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_newinc,c_newinc_next_year,c_newinc_percent_change_next_year,case_change_direction,low_c_newinc_flag,temporal_analysis_cohort_flag
Ghana,GHA,2021,AFR,0.9797316585783614,0.20678703968027404,,False,False,False,13401.0,16510.0,23.19976121184986,Anstieg,False,True
Ghana,GHA,2022,AFR,0.9198599198091661,0.4383596406638583,,False,False,False,16510.0,19031.0,15.269533615990309,Anstieg,False,True
Ghana,GHA,2023,AFR,0.9794937563280459,0.4086128923388458,0.43088410202193733,False,False,False,19031.0,20009.0,5.138983763333509,Anstieg,False,True
Guinea,GIN,2021,AFR,1.0,1.0,,True,True,False,18754.0,19954.0,6.398634957875653,Anstieg,False,False
Guinea,GIN,2022,AFR,1.0,1.0,,True,True,False,19954.0,20055.0,0.5061641776084995,Anstieg,False,False
Guinea,GIN,2023,AFR,1.0,0.9998240675580577,,True,False,False,20055.0,18317.0,-8.666168037895787,Rückgang,False,False
Gambia,GMB,2020,AFR,0.1454849498327759,0.42474916387959866,0.7244094488188977,False,False,False,2405.0,2254.0,-6.278586278586279,Rückgang,False,False
Gambia,GMB,2021,AFR,0.1302048909451421,0.22207534699272968,0.8482142857142857,False,False,False,2254.0,2535.0,12.466725820763088,Anstieg,False,False
Gambia,GMB,2022,AFR,0.06245443499392467,0.1859052247873633,1.0,False,False,True,2535.0,2766.0,9.112426035502958,Anstieg,False,False
Gambia,GMB,2023,AFR,1.0,0.13351656299725156,0.9479956663055255,True,False,False,2766.0,2783.0,0.6146059291395517,Anstieg,False,False
Guinea-Bissau,GNB,2019,AFR,1.0,0.8406466512702079,0.27197802197802196,True,False,False,2407.0,2543.0,5.650186954715413,Anstieg,False,False
Guinea-Bissau,GNB,2020,AFR,0.0,0.8394415357766143,0.47193347193347196,True,False,False,2543.0,2490.0,-2.084152575697994,Rückgang,False,False
