country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_new_tsr_next_year,newrel_coh_next_year,treatment_success_rate_next_year,treatment_death_rate_next_year,unsuccessful_rate_next_year
Bahamas,BHS,2019,AMR,0.29850746268656714,0.16169154228855723,0.38461538461538464,False,False,False,68.0,31.0,0.6774193548387096,0.25806451612903225,0.2903225806451613
Bahamas,BHS,2020,AMR,1.0,0.0625,1.0,True,False,True,77.0,44.0,0.7727272727272727,0.13636363636363635,0.18181818181818182
Bahamas,BHS,2021,AMR,0.9705882352941176,0.47058823529411764,1.0,False,False,True,87.0,46.0,0.8695652173913043,0.10869565217391304,0.10869565217391304
Bahamas,BHS,2022,AMR,1.0,0.44680851063829785,1.0,True,False,True,70.0,27.0,0.7037037037037037,0.07407407407407407,0.2962962962962963
Belarus,BLR,2019,EUR,1.0,0.00820251732428228,,True,False,False,85.0,833.0,0.8523409363745498,0.10084033613445378,0.1404561824729892
Belarus,BLR,2020,EUR,1.0,0.0052451919074182,,True,False,False,84.0,903.0,0.840531561461794,0.08970099667774087,0.15946843853820597
Belarus,BLR,2021,EUR,1.0,0.0063907044299201165,,True,False,False,87.0,999.0,0.8698698698698699,0.08208208208208208,0.12412412412412413
Belarus,BLR,2022,EUR,1.0,0.011233150274588119,,True,False,False,89.0,931.0,0.8872180451127819,0.08163265306122448,0.11278195488721804
Belize,BLZ,2020,AMR,1.0,,,True,False,False,80.0,70.0,0.8,0.12857142857142856,0.18571428571428572
Bermuda,BMU,2020,AMR,1.0,0.0,,True,True,False,100.0,2.0,1.0,0.0,0.0
Bolivia (Plurinational State of),BOL,2019,AMR,0.9469657337169762,0.11241171854564479,0.8720186154741129,False,False,False,80.0,6007.0,0.8008989512235725,0.07807557849175961,0.16813717329781921
Bolivia (Plurinational State of),BOL,2020,AMR,0.8317748356633645,0.1101749837977965,0.8831932773109243,False,False,False,80.0,7099.0,0.7968727989857727,0.07634878151852374,0.18819552049584448
Bolivia (Plurinational State of),BOL,2021,AMR,0.8042598860728143,0.09716833154462148,0.8887000849617672,False,False,False,79.0,7993.0,0.7940698110846991,0.08032028024521456,0.17953209057925684
Bolivia (Plurinational State of),BOL,2022,AMR,0.7928707162047048,0.08996789201231899,0.8725418790968682,False,False,False,79.0,8833.0,0.7890863806181365,0.07800294350730216,0.18193139363749575
Brazil,BRA,2019,AMR,0.7026140014329628,0.05833082950054314,0.7428480862191933,False,False,False,67.0,72825.0,0.6666392035702026,0.08427051150017165,0.2123034672159286
Brazil,BRA,2020,AMR,0.7123457126508814,0.07628674967984524,0.7134081005786127,False,False,False,65.0,78023.0,0.6464632223831435,0.09042205503505377,0.22461325506581392
Brazil,BRA,2021,AMR,0.7066589666765776,0.09623653454703474,0.6970471154417444,False,False,False,66.0,87253.0,0.6560805932174252,0.08646121050279074,0.2262615612070645
Brazil,BRA,2022,AMR,0.707174955062912,0.11309666466946275,0.7161714714582138,False,False,False,65.0,90537.0,0.6510597877111015,0.08567767873907906,0.2284922186509383
Brunei Darussalam,BRN,2019,WPR,1.0,0.04154302670623145,,True,False,False,72.0,300.0,0.72,0.14666666666666667,0.14666666666666667
Brunei Darussalam,BRN,2020,WPR,1.0,0.0013559322033898306,1.0,True,False,True,70.0,229.0,0.7030567685589519,0.15283842794759825,0.1615720524017467
Brunei Darussalam,BRN,2021,WPR,1.0,1.0,,True,True,False,78.0,224.0,0.7767857142857143,0.11607142857142858,0.11607142857142858
Brunei Darussalam,BRN,2022,WPR,1.0,0.08928571428571429,0.03333333333333333,True,False,False,75.0,260.0,0.75,0.1076923076923077,0.1076923076923077
Bhutan,BTN,2019,SEA,1.0,0.06666666666666667,1.0,True,False,True,94.0,848.0,0.9445754716981132,0.02240566037735849,0.04481132075471698
Bhutan,BTN,2020,SEA,1.0,0.09010339734121123,1.0,True,False,True,94.0,799.0,0.9436795994993742,0.03254067584480601,0.04755944931163955
Bhutan,BTN,2021,SEA,1.0,0.02252252252252252,1.0,True,False,True,90.0,748.0,0.9010695187165776,0.03609625668449198,0.07620320855614973
Bhutan,BTN,2022,SEA,0.8958755916159568,0.12778904665314403,0.8994708994708994,False,False,False,84.0,778.0,0.8354755784061697,0.02956298200514139,0.043701799485861184
Central African Republic,CAF,2021,AFR,1.0,0.977112676056338,0.9427027027027027,True,False,False,90.0,14389.0,0.9037459170199458,0.029049968726110223,0.08513447772604073
Central African Republic,CAF,2022,AFR,1.0,1.0,,True,True,False,89.0,14239.0,0.8924784043823302,0.03026897956317157,0.08933211601938339
Switzerland,CHE,2020,EUR,1.0,0.19618528610354224,,True,False,False,75.0,326.0,0.754601226993865,0.05828220858895705,0.08282208588957055
Switzerland,CHE,2021,EUR,1.0,0.1544502617801047,,True,False,False,65.0,329.0,0.6534954407294833,0.02735562310030395,0.03951367781155015
Switzerland,CHE,2022,EUR,1.0,0.12780898876404495,,True,False,False,58.0,404.0,0.5816831683168316,0.04702970297029703,0.08168316831683169
Chile,CHL,2019,AMR,0.8295424490875429,,,False,False,False,77.0,1992.0,0.766566265060241,0.10642570281124498,0.1892570281124498
Chile,CHL,2020,AMR,0.8273609555804404,,,False,False,False,74.0,2309.0,0.7392810740580338,0.13165872672152448,0.23516673884798614
Chile,CHL,2021,AMR,0.8374358066229857,,,False,False,False,71.0,2757.0,0.7072905331882481,0.12441059122234313,0.24845846935074356
Chile,CHL,2022,AMR,0.839572192513369,,,False,False,False,69.0,3124.0,0.689820742637644,0.11011523687580026,0.24871959026888604
China,CHN,2019,WPR,0.7844423111213574,,,False,False,False,95.0,608737.0,0.9466912640434211,0.02294915538237367,0.04499151521921618
China,CHN,2020,WPR,0.9968101558230482,,,False,False,False,94.0,570910.0,0.9416317808411133,0.023693752080012613,0.043957891786796516
China,CHN,2021,WPR,0.996073763953317,,,False,False,False,95.0,493397.0,0.9461812698496342,0.028161906132384267,0.04598325486373042
China,CHN,2022,WPR,0.7813916412290581,0.010451184277109418,0.5654041390082,False,False,False,95.0,548839.0,0.9450002641940533,0.028540245864452054,0.047840987976437536
Côte d'Ivoire,CIV,2019,AFR,1.0,0.41790623898484314,0.7736167341430499,True,False,False,84.0,19688.0,0.8398008939455506,0.09122308004876066,0.14247257212515238
Côte d'Ivoire,CIV,2020,AFR,0.17654900964956832,0.17045454545454544,0.8217877094972067,False,False,False,85.0,20659.0,0.8464107652838957,0.0801103635219517,0.13626022556754924
Côte d'Ivoire,CIV,2021,AFR,0.15291657698102765,0.17573260354847636,0.8325459317585302,False,False,False,87.0,21393.0,0.8664516430608142,0.07609965876688636,0.1199925209180573
Cameroon,CMR,2022,AFR,1.0,,0.06135504507124164,True,False,False,89.0,24627.0,0.8912169569984164,0.04978275876070979,0.0957891744832907
Democratic Republic of the Congo,COD,2019,AFR,0.8023220066188039,0.6286597826283523,,False,False,False,94.0,200955.0,0.940225423602299,0.022497574083750093,0.042984747829115974
