country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,rr_rate_new_next_year,mdr_rate_new_next_year
Armenia,ARM,2020,EUR,0.8913250714966635,0.0219256434699714,,False,False,False,0.21052631578947367,0.20095693779904306
Armenia,ARM,2021,EUR,0.9189453125,0.0166015625,,False,False,False,0.15450643776824036,0.14163090128755365
Armenia,ARM,2022,EUR,0.9133425034387895,0.027510316368638238,,False,False,False,0.16666666666666666,0.14444444444444443
Armenia,ARM,2023,EUR,0.9399293286219081,0.0353356890459364,,False,False,False,0.14492753623188406,0.13043478260869565
Australia,AUS,2019,WPR,0.8576576576576577,0.12612612612612611,,False,False,False,0.01904761904761905,0.013717421124828532
Australia,AUS,2020,WPR,0.9172461752433936,0.14186369958275383,,False,False,False,0.01507537688442211,0.011725293132328308
Australia,AUS,2021,WPR,0.46889400921658986,0.08928571428571429,,False,False,False,0.02861952861952862,0.021996615905245348
Australia,AUS,2022,WPR,0.6442105263157895,0.08947368421052632,,False,False,False,0.02773246329526917,0.024630541871921183
Australia,AUS,2023,WPR,0.6298507462686567,0.04776119402985075,0.4375,False,False,False,0.021897810218978103,0.017595307917888565
Azerbaijan,AZE,2019,EUR,1.0,0.9185363650052702,,True,False,False,0.11967871485943775,0.10499139414802065
Azerbaijan,AZE,2020,EUR,1.0,0.90008173273396,,True,False,False,0.12207239176721078,0.0801987224982257
Azerbaijan,AZE,2021,EUR,1.0,0.8862979777135782,,True,False,False,0.11909036505086774,0.06690997566909976
Azerbaijan,AZE,2022,EUR,0.9199848312476299,0.9199848312476299,0.9499175597691674,False,False,False,0.11669770328988206,0.06579764121663563
Azerbaijan,AZE,2023,EUR,0.9799668416689693,0.9271898314451505,0.4380867232901207,False,False,False,0.11686670878079596,0.07037747920665387
Benin,BEN,2019,AFR,1.0,0.9261965655827549,0.8587771203155818,True,False,False,0.014705882352941176,0.46153846153846156
Benin,BEN,2020,AFR,1.0,0.9014272970561998,0.9247897080653142,True,False,False,0.01095579901775595,0.47619047619047616
Benin,BEN,2021,AFR,1.0,0.9220231822971549,0.92,True,False,False,0.007641921397379912,0.5625
Benin,BEN,2022,AFR,1.0,0.9138202837624803,0.9286946520989074,True,False,False,0.007019596373208541,0.47619047619047616
